mean  	sigma	
3.03899 1.52411
2.94656	1.51286
2.9516	1.47295
2.99815	1.48143
3.00154	1.51254
2.94961	1.57366
3.1077	1.55202
3.11847	1.52703
3.11476	1.57545
3.00469	1.51113
2.9827	1.48057
3.01066	1.51829
3.05159	1.51294
2.97748	1.49589
3.10246	1.5573
3.06351	1.47396
3.05034	1.49677
3.01613	1.53486
2.98456	1.44992
3.02279	1.57605
3.11417	1.59974
2.99025	1.55126
3.02223	1.62222
3.00931	1.57675
3.09249	1.53038
3.09046	1.51866
3.06524	1.54362
3.05958	1.55906
3.06026	1.50788
3.06983	1.4828
3.00178	1.52786
3.02419	1.46899
2.93096	1.51355
3.04228	1.49981
2.92963	1.48909
3.00327	1.48206
3.01516	1.56734
2.99431	1.56387
3.06805	1.52074
3.04836	1.55908
3.06306	1.49592
3.10221	1.56332
2.98072	1.51776
3.08451	1.54529
3.093	1.52652
2.92546	1.51068
3.00352	1.56118
3.10764	1.57756
3.08306	1.56752
3.05128	1.58229
3.05853	1.53976
3.09312	1.57135
2.97704	1.54895
3.07693	1.55198
3.03554	1.50163
2.9933	1.51797
3.0425	1.49108
3.06972	1.50674
3.06783	1.50483
3.02477	1.54888
2.979	1.52796
3.03756	1.55967
3.03993	1.49424
3.04429	1.53252
3.0653	1.54419
3.0165	1.53049
3.02734	1.5594
3.01476	1.5176
3.00407	1.56942
3.0805	1.5347
2.976	1.45594
3.03019	1.55085
3.11096	1.53499
3.09843	1.4977
3.03031	1.62033
3.04937	1.62242
3.05504	1.61223
2.99932	1.49351
3.08022	1.5448
2.97365	1.44861
2.96108	1.57611
3.05465	1.55974
2.99954	1.52263
3.003	1.51008
2.98774	1.56631
2.87732	1.54342
2.91476	1.50941
2.95828	1.52578
3.04804	1.52202
3.06808	1.51101
3.0421	1.56312
3.01122	1.52297
3.04338	1.6022
3.04966	1.57961
3.04376	1.52501
2.98599	1.57951
3.06346	1.56787
3.11045	1.60656
3.04956	1.53263
3.0473	1.5671
3.04875	1.55081
3.044	1.55673
2.99434	1.5883
3.02077	1.53743
3.09978	1.54079
3.01569	1.45982
3.02495	1.60892
2.98801	1.55451
2.9942	1.49429
3.0077	1.5384
3.08425	1.54341
3.05807	1.48005
3.11711	1.54552
2.99877	1.61672
2.93417	1.57903
2.9629	1.56106
2.95159	1.5819
2.88159	1.59486
2.97875	1.60235
3.04779	1.48029
3.07471	1.55895
3.04437	1.50143
2.9622	1.50371
2.97458	1.52249
2.98609	1.52889
2.99705	1.58867
3.06709	1.56033
2.92103	1.4964
3.08619	1.52911
3.04403	1.50133
2.9628	1.53662
2.96631	1.57399
2.99741	1.58292
2.98765	1.52617
2.96679	1.49858
2.99845	1.51803
2.93518	1.55303
2.98494	1.4977
3.08689	1.52652
3.03689	1.54037
2.97477	1.53636
3.06489	1.59725
2.99578	1.60895
3.06365	1.55199
2.99594	1.5356
2.89694	1.56053
2.93626	1.49328
2.96946	1.57197
2.93965	1.53943
3.0401	1.59253
3.03918	1.49234
3.04038	1.44245
3.09566	1.46385
2.95427	1.54672
2.9524	1.52115
3.11446	1.56516
3.03226	1.49543
2.97887	1.52764
3.01718	1.48251
3.01187	1.50855
3.02722	1.49778
3.02931	1.50163
3.06958	1.52453
3.02868	1.5757
2.93184	1.51195
2.96735	1.53928
2.95587	1.53337
2.98657	1.46818
3.06907	1.53883
2.99608	1.59567
3.00427	1.60941
3.06263	1.63439
3.14587	1.58613
3.13691	1.5044
3.10344	1.50816
3.05522	1.54704
3.00738	1.56059
2.95314	1.55009
2.99729	1.58375
3.01207	1.51932
3.05385	1.55689
2.96034	1.52613
2.97597	1.56444
3.10691	1.57128
2.98434	1.58646
3.00094	1.62668
2.99578	1.62062
2.90335	1.58828
2.95773	1.55445
2.96284	1.55524
2.97992	1.50095
2.99823	1.51511
3.05402	1.5681
2.99356	1.62168
2.91124	1.59569
2.99468	1.54607
2.95995	1.54815
3.03455	1.55045
3.04491	1.52154
3.05235	1.51835
2.94941	1.50506
2.9996	1.50264
2.94939	1.54169
3.04586	1.54316
3.00415	1.58155
3.07053	1.56361
3.05213	1.57063
3.03969	1.54984
3.02955	1.57531
2.92085	1.59083
2.90592	1.53244
2.92499	1.57551
2.89717	1.51392
2.99503	1.53747
3.07517	1.49959
3.05668	1.54806
3.07235	1.59454
3.0486	1.50741
2.9802	1.50773
2.90566	1.5739
3.04372	1.54002
2.95608	1.55542
3.03252	1.58026
3.06864	1.59186
3.07719	1.51514
3.06509	1.56179
2.98485	1.57348
2.95408	1.5647
3.01181	1.48812
2.97417	1.46176
2.96579	1.45493
3.09915	1.56116
2.93678	1.52479
2.99429	1.57227
3.03501	1.56053
3.02161	1.54504
3.10107	1.53208
3.11514	1.53517
2.99542	1.51442
2.98933	1.55728
3.07378	1.47883
2.95907	1.45806
3.0352	1.48212
3.10919	1.53896
3.12784	1.55587
3.0682	1.55873
2.95647	1.47781
2.96558	1.47136
2.99667	1.47279
3.05792	1.48938
3.0263	1.52391
3.0519	1.51307
2.95053	1.5493
2.99584	1.57395
3.07283	1.53474
3.00051	1.48583
3.08388	1.51924
2.93915	1.53352
2.99466	1.51228
3.01973	1.55512
2.97754	1.51828
3.04322	1.5706
3.03035	1.57539
2.99963	1.55124
2.98695	1.48805
3.05174	1.40323
3.16028	1.44622
3.17285	1.52566
3.16404	1.48702
2.9494	1.44396
3.15005	1.49826
3.07156	1.55711
2.9757	1.59732
3.08531	1.56037
3.09381	1.58311
3.04988	1.6235
3.04609	1.5085
3.02486	1.50853
3.06593	1.52959
3.03254	1.53185
3.05949	1.54418
3.00488	1.59109
3.02209	1.56251
3.03914	1.55615
3.0582	1.53986
3.08821	1.50991
2.97489	1.57422
2.97067	1.49267
2.94096	1.57156
3.0237	1.5515
3.01158	1.54644
2.97864	1.53595
3.0906	1.55943
3.03998	1.61381
2.94792	1.47502
2.94697	1.52597
3.02611	1.52541
3.01978	1.49293
2.97229	1.50728
2.99	1.56931
2.98598	1.49936
3.0684	1.50268
3.08678	1.54657
3.04312	1.53691
2.96644	1.48699
2.98968	1.49071
3.036	1.54562
3.03829	1.54482
3.04112	1.58313
3.03572	1.59669
3.08152	1.60234
3.0184	1.58302
3.03596	1.57903
3.0306	1.56482
3.01951	1.51814
3.02975	1.53842
3.08236	1.53769
